"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2021,"No Action","T1",0.06,-0.37,0.16
"2",2021,"Reference","T1",0.23,-0.16,0.31
"3",2021,"Reference","T2",0.17,-0.34,0.28
"4",2021,"Runnel","T1",0.19,0.07,0.27
"5",2021,"Runnel","T2",0.08,-0.46,0.24
"6",2021,"Runnel","T3",0.17,-0.14,0.26
"7",2024,"No Action","T1",0.16,-0.03,0.23
"8",2024,"Reference","T1",0.28,-0.13,0.35
"9",2024,"Reference","T2",0.18,-0.32,0.29
"10",2024,"Runnel","2 ",0.18,-0.04,0.3
"11",2024,"Runnel","T1",0.24,0.06,0.32
"12",2024,"Runnel","T2",0.17,0.06,0.26
"13",2024,"Runnel","T3",0.15,-0.32,0.26
