"","Season","Site_Treatment","Transect","mean_elev","min_elev","max_elev"
"1",2022,"No Action","T1",0.73,0.61,0.83
"2",2022,"No Action","T2",0.7,0.5,0.8
"3",2022,"North Runnel","T1",0.68,0.48,0.8
"4",2022,"North Runnel","T2",0.64,0.45,0.72
"5",2022,"Reference","T1",0.64,0.44,0.81
"6",2022,"Reference","T2",0.61,0.5,0.8
"7",2022,"South Runnel","T1",0.6,0.41,0.72
"8",2022,"South Runnel","T2",0.6,0.41,0.77
"9",2024,"No Action","T1",0.72,0.56,0.82
"10",2024,"No Action","T2",0.69,0.5,0.8
"11",2024,"North Runnel","T1",0.67,0.38,0.74
"12",2024,"North Runnel","T2",0.62,0.33,0.71
"13",2024,"Reference","T1",0.93,0.74,1.09
"14",2024,"Reference","T2",0.9,0.8,1.09
"15",2024,"South Runnel","T1",0.67,0.42,0.78
"16",2024,"South Runnel","T2",0.61,0.39,0.85
